family,instrument,band_index,energy_w_buildup,energy_w_decay,energy_w_residue,energy_w_shimmer,energy_w_strike,f_centre_hz,f_hi_hz,f_lo_hz,modes_per_band
plate,cymbal_18in_medium,33,0.053438211345506956,,1.5672781764691143e-07,0.007154845342615594,0.07299678259352227,8918.87568152042,9424.847930259928,8440.066514709539,61.89677370470141
plate,cymbal_18in_medium,34,0.05167434803505769,,3.236868331377007e-08,0.0045594789201729375,0.08094747670622351,9958.08899294587,10521.49988256573,9424.847930259928,68.92820747104965
plate,cymbal_18in_medium,35,0.051447683083920934,,5.704316925046243e-09,0.0028763720743373708,0.08972855245224073,11115.35607425443,11742.730792801776,10521.49988256573,76.7584076003507
plate,cymbal_18in_medium,36,0.05247167204292077,,8.450029161237305e-10,0.0017806383769135023,0.09941901304355082,12404.08777909383,13102.692750631822,11742.730792801776,85.4781134387704
plate,cymbal_18in_medium,37,0.05437092241645323,,1.0350185198856335e-10,0.0010684503843502657,0.11010367673886992,13839.218423072582,14617.145514022386,13102.692750631822,95.18837226396558
plate,cymbal_46cm_medium,0,0.0009668914801501737,,0.08726914537772162,0.009797471307346551,0.0012454458739732468,31.070005997851133,48.26726363532532,19.999999999999982,1.0
plate,cymbal_46cm_medium,1,0.0,,0.0,0.0,0.0,62.04115804080137,79.74567027716589,48.26726363532532,0.0
plate,cymbal_46cm_medium,2,0.0009620686894408055,,0.06897080627078778,0.009197059182549521,0.0012447134134033473,95.6807360113951,114.80000371009025,79.74567027716589,1.0
plate,cymbal_46cm_medium,3,0.0009595707687668183,,0.06102847894897795,0.008899580847038109,0.0012443327676362795,132.8925478326256,153.83648692246896,114.80000371009025,1.0
plate,cymbal_46cm_medium,4,0.0019138646200263648,,0.10722350813758268,0.017190016998489502,0.00248785951061599,174.22138513818598,197.30748957342993,153.83648692246896,2.0
plate,cymbal_46cm_medium,5,0.0019082429298962528,,0.09336194966176281,0.016562238310044615,0.002486998663368171,220.18573768342424,245.71677022503872,197.30748957342993,2.0
